snapshot_date,pool_size_target,layer4_pool_variant,pool_variant_family,selected_count,target_pool_size,shortfall_count,two_plus_opportunity_count,two_plus_opportunity_share,momentum_medium_high_count,pullback_medium_high_count,overlap_medium_high_count,neutral_medium_high_count,neutral_medium_high_share,high_exhaustion_or_breakdown_count,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,median_traded_value_rank_20d,turnover_share_metadata_status,fallback_00631L_reference_only,fallback_00631L_is_ordinary_stock_pool_member,period
2015-02-06,60,C_retention_friendly_retention_constrained_quota_60,retention_friendly_c_quota,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,66.63333333333334,56.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,60,C_risk_aware_retention_constrained_quota_60,risk_aware_c_quota,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,69.28333333333333,57.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,80,C_quota_size_sensitive_broad_label_quota_80,c_quota_style,80,80,0,80,1.0,80,79,80,80,1.0,0,0.0,76.15,59.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,80,C_retention_friendly_retention_constrained_quota_80,retention_friendly_c_quota,80,80,0,80,1.0,80,80,80,80,1.0,0,0.0,82.5625,68.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,80,C_risk_aware_retention_constrained_quota_80,risk_aware_c_quota,80,80,0,80,1.0,80,78,80,80,1.0,0,0.0,83.575,68.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,100,C_quota_size_sensitive_broad_label_quota_100,c_quota_style,100,100,0,100,1.0,100,98,100,100,1.0,0,0.0,80.52,72.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,100,C_retention_friendly_retention_constrained_quota_100,retention_friendly_c_quota,100,100,0,100,1.0,100,100,100,100,1.0,0,0.0,86.25,77.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-06,100,C_risk_aware_retention_constrained_quota_100,risk_aware_c_quota,100,100,0,100,1.0,100,97,100,100,1.0,0,0.0,88.2,75.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,31,C_quota_size_sensitive_broad_label_quota_31,c_quota_style,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,49.193548387096776,44.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,31,C_retention_friendly_retention_constrained_quota_31,retention_friendly_c_quota,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,54.16129032258065,53.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,31,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,60.806451612903224,53.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,40,C_quota_size_sensitive_broad_label_quota_40,c_quota_style,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,52.4,45.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,40,C_retention_friendly_retention_constrained_quota_40,retention_friendly_c_quota,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,54.2,54.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,40,C_risk_aware_retention_constrained_quota_40,risk_aware_c_quota,40,40,0,40,1.0,40,40,40,40,1.0,0,0.0,62.55,55.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,50,C_quota_size_sensitive_broad_label_quota_50,c_quota_style,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,60.68,58.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,50,C_retention_friendly_retention_constrained_quota_50,retention_friendly_c_quota,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,62.34,58.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,50,C_risk_aware_retention_constrained_quota_50,risk_aware_c_quota,50,50,0,50,1.0,50,50,50,50,1.0,0,0.0,70.26,62.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,60,C_quota_size_sensitive_broad_label_quota_60,c_quota_style,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,64.65,58.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,60,C_retention_friendly_retention_constrained_quota_60,retention_friendly_c_quota,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,71.6,66.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,60,C_risk_aware_retention_constrained_quota_60,risk_aware_c_quota,60,60,0,60,1.0,60,60,60,60,1.0,0,0.0,76.18333333333334,70.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,80,C_quota_size_sensitive_broad_label_quota_80,c_quota_style,80,80,0,80,1.0,80,80,80,80,1.0,0,0.0,78.8375,72.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,80,C_retention_friendly_retention_constrained_quota_80,retention_friendly_c_quota,80,80,0,80,1.0,80,80,80,80,1.0,0,0.0,83.7375,79.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,80,C_risk_aware_retention_constrained_quota_80,risk_aware_c_quota,80,80,0,80,1.0,80,80,80,80,1.0,0,0.0,81.875,75.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,100,C_quota_size_sensitive_broad_label_quota_100,c_quota_style,100,100,0,100,1.0,100,99,100,100,1.0,0,0.0,91.33,85.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,100,C_retention_friendly_retention_constrained_quota_100,retention_friendly_c_quota,100,100,0,100,1.0,100,100,100,100,1.0,0,0.0,95.88,86.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-13,100,C_risk_aware_retention_constrained_quota_100,risk_aware_c_quota,100,100,0,100,1.0,100,100,100,100,1.0,0,0.0,92.54,86.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-26,31,C_quota_size_sensitive_broad_label_quota_31,c_quota_style,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,41.45161290322581,33.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-02-26,31,C_retention_friendly_retention_constrained_quota_31,retention_friendly_c_quota,31,31,0,31,1.0,31,31,31,31,1.0,0,0.0,40.61290322580645,32.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
