signal_date,entry_date,exit_date,ticker,name,variant,timing_variant,entry_price_column,exit_price_column,entry_price,exit_price,gross_return,formal_cost_model_cost,net_return_formal_cost,roundtrip_10bp_net_return,roundtrip_20bp_net_return,roundtrip_40bp_net_return,holding_days,selected_rank,RS20,RS60,pool_rank,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,00631L_plus_excess_return_reconstruction_used,forward_return_as_rule,future_return_as_rule,diagnostic_only,not_live_rule,blocked_reason
2022-02-25,2022-02-25,2022-03-04,3035,智原,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3143260153126203,0.473862813194388,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-25,2022-03-01,2022-03-08,3035,智原,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3143260153126203,0.473862813194388,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-25,2022-03-01,2022-03-04,3035,智原,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,3.0,1.0,0.3143260153126203,0.473862813194388,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-02-25,2022-03-01,2022-03-08,3035,智原,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.3143260153126203,0.473862813194388,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-04,2022-03-04,2022-03-11,3122,笙泉,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3371245892134249,-0.0975464408042956,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-04,2022-03-07,2022-03-14,3122,笙泉,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.3371245892134249,-0.0975464408042956,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-04,2022-03-07,2022-03-11,3122,笙泉,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.3371245892134249,-0.0975464408042956,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-04,2022-03-07,2022-03-14,3122,笙泉,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.3371245892134249,-0.0975464408042956,80,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-11,2022-03-11,2022-03-18,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.5214427165819046,2.2250357585658214,68,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-03-11,2022-03-14,2022-03-21,8440,綠電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.5214427165819046,2.2250357585658214,68,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
