snapshot_date,scope_type,ticker_count,traded_value_5d,median_rank_5d,pure_5d_burst_watchlist_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2016-07-01,watchlist_reference,11,3116808921.0,275.0,11,449120908206.0,0.006939799203403822,True
2016-07-07,active_layer1_source_scope,287,358541534365.0,144.0,0,417586408393.0,0.8586044161369555,True
2016-07-07,watchlist_reference,13,3461396490.0,282.0,13,417586408393.0,0.008289054481731124,True
2016-07-15,active_layer1_source_scope,288,468528113433.0,144.5,0,541666715302.0,0.8649749009809059,True
2016-07-15,watchlist_reference,12,4161588829.0,267.5,12,541666715302.0,0.00768293253293172,True
2016-07-22,active_layer1_source_scope,287,454861934301.0,144.0,0,537139276356.0,0.8468230761057417,True
2016-07-22,watchlist_reference,13,5039277652.0,274.0,13,537139276356.0,0.00938169646834784,True
2016-07-29,active_layer1_source_scope,294,414677519630.0,147.5,0,479950457279.0,0.8640006761967597,True
2016-07-29,watchlist_reference,6,1875693426.0,286.0,6,479950457279.0,0.003908098007935933,True
2016-08-05,active_layer1_source_scope,287,386110705872.0,144.0,0,457895766623.0,0.843228380815971,True
2016-08-05,watchlist_reference,13,4681182241.0,276.0,13,457895766623.0,0.01022324856926263,True
2016-08-12,active_layer1_source_scope,288,440241655539.0,144.5,0,524392181326.0,0.8395274971983497,True
2016-08-12,watchlist_reference,12,4635438737.0,281.0,12,524392181326.0,0.008839641211428126,True
2016-08-19,active_layer1_source_scope,291,390404916700.0,146.0,0,456237976942.0,0.8557045586532374,True
2016-08-19,watchlist_reference,9,2878795612.0,279.0,9,456237976942.0,0.006309855289328471,True
2016-08-26,active_layer1_source_scope,290,341638370396.0,145.5,0,400174140559.0,0.853724255942096,True
2016-08-26,watchlist_reference,10,2953715005.0,275.5,10,400174140559.0,0.00738107415155307,True
2016-09-02,active_layer1_source_scope,290,393684545759.0,145.5,0,457478786150.0,0.8605525713489961,True
2016-09-02,watchlist_reference,10,3143549960.0,285.0,10,457478786150.0,0.0068714660770505765,True
2016-09-09,active_layer1_source_scope,290,385793327613.0,145.5,0,450001316462.0,0.8573159977534821,True
2016-09-09,watchlist_reference,10,3254384487.0,274.0,10,450001316462.0,0.007231944369822336,True
2016-09-14,active_layer1_source_scope,289,93688156317.0,145.0,0,96972913490.0,0.9661270652310686,True
2016-09-14,watchlist_reference,11,350032903.0,289.0,11,96972913490.0,0.003609594580615503,True
2016-09-23,active_layer1_source_scope,291,384732932510.0,146.0,0,437832461501.0,0.8787218087736998,True
2016-09-23,watchlist_reference,9,2510652387.0,276.0,9,437832461501.0,0.005734276481905547,True
2016-09-30,active_layer1_source_scope,293,371370964053.0,147.0,0,424887761415.0,0.8740448602619819,True
2016-09-30,watchlist_reference,7,1951976640.0,267.0,7,424887761415.0,0.004594099471115264,True
2016-10-07,active_layer1_source_scope,297,328307709131.0,149.0,0,382786499158.0,0.8576783921406977,True
2016-10-07,watchlist_reference,3,843797410.0,278.0,3,382786499158.0,0.002204355200238428,True
2016-10-14,active_layer1_source_scope,289,366372950298.0,145.0,0,429333723226.0,0.8533523701448031,True
2016-10-14,watchlist_reference,11,3251757210.0,287.0,11,429333723226.0,0.007573961778651813,True
2016-10-21,active_layer1_source_scope,286,336827852065.0,143.5,0,387014618664.0,0.8703233310094383,True
2016-10-21,watchlist_reference,14,3360865617.0,282.0,14,387014618664.0,0.008684079243833036,True
2016-10-28,active_layer1_source_scope,288,315178245826.0,144.5,0,358643112828.0,0.8788074677936305,True
2016-10-28,watchlist_reference,12,2592202982.0,280.0,12,358643112828.0,0.007227806388249766,True
2016-11-04,active_layer1_source_scope,289,295921892257.0,145.0,0,337663718240.0,0.8763804823314439,True
2016-11-04,watchlist_reference,11,2149323957.0,282.0,11,337663718240.0,0.0063652795396641725,True
2016-11-11,active_layer1_source_scope,291,421208384781.0,146.0,0,475659074409.0,0.8855258050197944,True
2016-11-11,watchlist_reference,9,2349737670.0,282.0,9,475659074409.0,0.004939961826481535,True
2016-11-18,active_layer1_source_scope,282,376702432874.0,141.5,0,426209638890.0,0.8838430633691575,True
2016-11-18,watchlist_reference,18,4125720122.0,285.5,18,426209638890.0,0.009680025380807502,True
2016-11-25,active_layer1_source_scope,289,329557946107.0,145.0,0,380142306829.0,0.8669330937038943,True
2016-11-25,watchlist_reference,11,2772479623.0,284.0,11,380142306829.0,0.007293267739986512,True
2016-12-02,active_layer1_source_scope,292,384360981044.0,146.5,0,439158857055.0,0.8752208338037979,True
2016-12-02,watchlist_reference,8,2214301737.0,274.5,8,439158857055.0,0.005042142954486017,True
2016-12-09,active_layer1_source_scope,290,361336129131.0,145.5,0,419357341802.0,0.8616425494742029,True
2016-12-09,watchlist_reference,10,2935141161.0,282.0,10,419357341802.0,0.006999140991278578,True
2016-12-16,active_layer1_source_scope,284,345139337450.0,142.5,0,406382183009.0,0.8492974147992023,True
2016-12-16,watchlist_reference,16,4447648070.0,278.0,16,406382183009.0,0.010944495738144848,True
2016-12-23,active_layer1_source_scope,286,292615303938.0,143.5,0,342345708581.0,0.8547362990202821,True
2016-12-23,watchlist_reference,14,3220739092.0,272.5,14,342345708581.0,0.009407855893242383,True
2016-12-30,active_layer1_source_scope,289,230508705073.0,145.0,0,271212924828.0,0.8499178467220391,True
2016-12-30,watchlist_reference,11,2056970103.0,276.0,11,271212924828.0,0.007584336566203494,True
2017-01-06,active_layer1_source_scope,291,321598219275.0,146.0,0,378179143414.0,0.850385921264146,True
2017-01-06,watchlist_reference,9,2560126134.0,285.0,9,378179143414.0,0.006769612176093435,True
2017-01-13,active_layer1_source_scope,293,357103585986.0,147.0,0,413523021847.0,0.8635639785930112,True
2017-01-13,watchlist_reference,7,2023766138.0,289.0,7,413523021847.0,0.004893962442431503,True
2017-01-20,active_layer1_source_scope,289,357282446746.0,145.0,0,410735785869.0,0.8698595521451632,True
2017-01-20,watchlist_reference,11,2930917486.0,280.0,11,410735785869.0,0.007135773377523006,True
2017-01-24,active_layer1_source_scope,292,414614816709.0,146.5,0,472201475607.0,0.8780464232476737,True
2017-01-24,watchlist_reference,8,2372445261.0,271.0,8,472201475607.0,0.005024222463409918,True
2017-02-03,active_layer1_source_scope,288,501616681783.0,144.5,0,570084769117.0,0.8798984097750064,True
2017-02-03,watchlist_reference,12,3906081241.0,275.0,12,570084769117.0,0.006851755129417156,True
2017-02-10,active_layer1_source_scope,284,563530983660.0,142.5,0,671303388427.0,0.8394579758944274,True
2017-02-10,watchlist_reference,16,7560952993.0,274.5,16,671303388427.0,0.011263093741738511,True
2017-02-17,active_layer1_source_scope,284,538255670510.0,142.5,0,645204539564.0,0.834240364882939,True
2017-02-17,watchlist_reference,16,7403063217.0,273.5,16,645204539564.0,0.01147397881298643,True
2017-02-24,active_layer1_source_scope,291,505058538603.0,146.0,0,606469631812.0,0.8327845486574396,True
2017-02-24,watchlist_reference,9,4203587657.0,288.0,9,606469631812.0,0.006931241791020252,True
2017-03-03,active_layer1_source_scope,286,1257227008872.0,143.5,0,1404590134683.0,0.8950846071233027,True
2017-03-03,watchlist_reference,14,10815776832.0,272.5,14,1404590134683.0,0.007700308128990951,True
2017-03-10,active_layer1_source_scope,284,417398189345.0,142.5,0,505924923967.0,0.8250200169466758,True
2017-03-10,watchlist_reference,16,6008218446.0,281.0,16,505924923967.0,0.011875711516422343,True
2017-03-17,active_layer1_source_scope,291,468988446707.0,146.0,0,573371958348.0,0.8179480002095849,True
2017-03-17,watchlist_reference,9,4013901243.0,281.0,9,573371958348.0,0.007000518920675607,True
2017-03-24,active_layer1_source_scope,288,487442859377.0,144.5,0,597664561069.0,0.8155793251404194,True
2017-03-24,watchlist_reference,12,5553265261.0,279.5,12,597664561069.0,0.009291608742983305,True
2017-03-31,active_layer1_source_scope,290,497345464104.0,145.5,0,593834134118.0,0.8375157902344043,True
2017-03-31,watchlist_reference,10,4359273114.0,275.5,10,593834134118.0,0.007340893464257773,True
2017-04-07,active_layer1_source_scope,292,543530012971.0,146.5,0,632294178761.0,0.8596157156405645,True
2017-04-07,watchlist_reference,8,3316264287.0,282.5,8,632294178761.0,0.005244812301606702,True
2017-04-14,active_layer1_source_scope,292,472641363860.0,146.5,0,569166010239.0,0.8304103817821656,True
2017-04-14,watchlist_reference,8,3400333115.0,278.0,8,569166010239.0,0.0059742378389253375,True
2017-04-21,active_layer1_source_scope,290,427828001033.0,145.5,0,497420897971.0,0.86009253486962,True
2017-04-21,watchlist_reference,10,3275535767.0,276.5,10,497420897971.0,0.006585038506345518,True
2017-04-28,active_layer1_source_scope,293,479235435430.0,147.0,0,544724538241.0,0.8797757431261046,True
2017-04-28,watchlist_reference,7,2458615697.0,275.0,7,544724538241.0,0.004513502742026734,True
2017-05-05,active_layer1_source_scope,285,473688269968.0,143.0,0,551717932889.0,0.8585696453395892,True
2017-05-05,watchlist_reference,15,5845323462.0,283.0,15,551717932889.0,0.01059476793040189,True
2017-05-12,active_layer1_source_scope,292,500390270139.0,146.5,0,580868586989.0,0.8614517661091492,True
2017-05-12,watchlist_reference,8,2985983146.0,283.5,8,580868586989.0,0.005140548504229144,True
2017-05-19,active_layer1_source_scope,288,455349703700.0,144.5,0,531148773306.0,0.8572922062227348,True
2017-05-19,watchlist_reference,12,4888656418.0,269.5,12,531148773306.0,0.00920393054392615,True
2017-05-26,active_layer1_source_scope,288,433643286629.0,144.5,0,512633168967.0,0.8459134384589834,True
2017-05-26,watchlist_reference,12,4929170923.0,269.5,12,512633168967.0,0.00961539600126286,True
2017-06-02,active_layer1_source_scope,291,489538569253.0,146.0,0,572015723035.0,0.8558131350928732,True
2017-06-02,watchlist_reference,9,3636761458.0,272.0,9,572015723035.0,0.006357799814844385,True
2017-06-09,active_layer1_source_scope,286,488968549599.0,143.5,0,576256786221.0,0.8485254513106522,True
2017-06-09,watchlist_reference,14,5268962173.0,285.0,14,576256786221.0,0.00914342754651622,True
2017-06-16,active_layer1_source_scope,292,452286955747.0,146.5,0,522905875713.0,0.86494907927797,True
2017-06-16,watchlist_reference,8,2770849687.0,281.5,8,522905875713.0,0.005298945404317463,True
2017-06-23,active_layer1_source_scope,287,469229664258.0,144.0,0,546125409030.0,0.8591976430677739,True
2017-06-23,watchlist_reference,13,4230249927.0,287.0,13,546125409030.0,0.007745931350298375,True
2017-06-30,active_layer1_source_scope,284,557768837537.0,142.5,0,639359887455.0,0.8723863484104755,True
2017-06-30,watchlist_reference,16,5362037332.0,287.5,16,639359887455.0,0.0083865713774191,True
2017-07-07,active_layer1_source_scope,288,428902078137.0,144.5,0,498820583277.0,0.859832357597053,True
2017-07-07,watchlist_reference,12,3875389895.0,279.5,12,498820583277.0,0.007769105816645817,True
2017-07-14,active_layer1_source_scope,290,532956526947.0,145.5,0,605991320771.0,0.8794788121204803,True
2017-07-14,watchlist_reference,10,3277067729.0,282.5,10,605991320771.0,0.005407779974192703,True
2017-07-21,active_layer1_source_scope,289,525966274923.0,145.0,0,607955278280.0,0.8651397458231473,True
2017-07-21,watchlist_reference,11,4611745823.0,266.0,11,607955278280.0,0.007585666228686008,True
2017-07-28,active_layer1_source_scope,287,541385557713.0,144.0,0,622890744885.0,0.869150107235824,True
2017-07-28,watchlist_reference,13,5221518323.0,271.0,13,622890744885.0,0.008382719386790716,True
2017-08-04,active_layer1_source_scope,290,602919517811.0,145.5,0,688097269041.0,0.8762126300127421,True
2017-08-04,watchlist_reference,10,4190974943.0,283.5,10,688097269041.0,0.006090672251673015,True
2017-08-11,active_layer1_source_scope,288,678265999770.0,144.5,0,778988270876.0,0.8707011711578991,True
2017-08-11,watchlist_reference,12,5578674332.0,276.5,12,778988270876.0,0.0071614355961054236,True
2017-08-18,active_layer1_source_scope,292,541510010679.0,146.5,0,624742253288.0,0.8667734699054671,True
2017-08-18,watchlist_reference,8,3068538359.0,286.5,8,624742253288.0,0.004911686928249808,True
2017-08-25,active_layer1_source_scope,293,601305573759.0,147.0,0,694173768645.0,0.8662176545978176,True
2017-08-25,watchlist_reference,7,3217952890.0,287.0,7,694173768645.0,0.004635659017022954,True
2017-09-01,active_layer1_source_scope,285,613635371848.0,143.0,0,722593444280.0,0.8492124813828514,True
2017-09-01,watchlist_reference,15,6945672289.0,280.0,15,722593444280.0,0.009612144067983821,True
2017-09-08,active_layer1_source_scope,286,682575269489.0,143.5,0,798745274804.0,0.8545593833484569,True
2017-09-08,watchlist_reference,14,7490697848.0,274.0,14,798745274804.0,0.009378080953077442,True
2017-09-15,active_layer1_source_scope,289,729465155630.0,145.0,0,842574533358.0,0.8657574217473516,True
