decision_date,ticker,horizon_td,reason
2024-08-02,6239,20,entry_official_raw_close_missing_or_not_tradable
2024-08-02,6239,40,entry_official_raw_close_missing_or_not_tradable
2025-09-16,6239,10,exit_official_raw_close_missing_or_not_tradable
2025-09-22,6239,40,exit_official_raw_close_missing_or_not_tradable
2025-09-23,6239,5,exit_official_raw_close_missing_or_not_tradable
2025-11-07,6239,10,exit_official_raw_close_missing_or_not_tradable
2025-11-14,6239,5,exit_official_raw_close_missing_or_not_tradable
2025-11-21,6239,5,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6239,10,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6239,20,entry_official_raw_close_missing_or_not_tradable
2025-11-21,6239,40,entry_official_raw_close_missing_or_not_tradable
2025-11-26,6239,20,exit_official_raw_close_missing_or_not_tradable
2025-12-17,6239,5,exit_official_raw_close_missing_or_not_tradable
2025-12-24,6239,5,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6239,10,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6239,20,entry_official_raw_close_missing_or_not_tradable
2025-12-24,6239,40,entry_official_raw_close_missing_or_not_tradable
2026-04-10,6239,40,exit_official_raw_close_missing_or_not_tradable
2026-05-25,6239,10,exit_official_raw_close_missing_or_not_tradable
2023-12-18,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-19,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-20,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-21,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-22,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-25,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-26,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-27,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-28,6243,40,exit_official_raw_close_missing_or_not_tradable
2023-12-29,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-02,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-03,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-04,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-05,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-08,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-08,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-09,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-09,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-10,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-10,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-11,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-11,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-12,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-12,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-22,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-22,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-22,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-23,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-23,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-23,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-24,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-24,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-24,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-25,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-25,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-25,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-26,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-26,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-26,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-29,6243,5,exit_official_raw_close_missing_or_not_tradable
2024-01-29,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-29,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-29,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-30,6243,5,exit_official_raw_close_missing_or_not_tradable
2024-01-30,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-30,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-30,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-01-31,6243,5,exit_official_raw_close_missing_or_not_tradable
2024-01-31,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-01-31,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-01-31,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-02-01,6243,5,exit_official_raw_close_missing_or_not_tradable
2024-02-01,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-02-01,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-02-01,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-02-02,6243,5,exit_official_raw_close_missing_or_not_tradable
2024-02-02,6243,10,exit_official_raw_close_missing_or_not_tradable
2024-02-02,6243,20,exit_official_raw_close_missing_or_not_tradable
2024-02-02,6243,40,exit_official_raw_close_missing_or_not_tradable
2024-02-15,6243,5,entry_official_raw_close_missing_or_not_tradable
2024-02-15,6243,10,entry_official_raw_close_missing_or_not_tradable
2024-02-15,6243,20,entry_official_raw_close_missing_or_not_tradable
2024-02-15,6243,40,entry_official_raw_close_missing_or_not_tradable
2024-02-16,6243,5,entry_official_raw_close_missing_or_not_tradable
2024-02-16,6243,10,entry_official_raw_close_missing_or_not_tradable
2024-02-16,6243,20,entry_official_raw_close_missing_or_not_tradable
2024-02-16,6243,40,entry_official_raw_close_missing_or_not_tradable
2026-03-02,6244,5,exit_official_raw_close_missing_or_not_tradable
2026-03-02,6244,10,exit_official_raw_close_missing_or_not_tradable
2026-03-02,6244,20,exit_official_raw_close_missing_or_not_tradable
2026-03-02,6244,40,exit_official_raw_close_missing_or_not_tradable
2026-03-03,6244,5,exit_official_raw_close_missing_or_not_tradable
2026-03-03,6244,10,exit_official_raw_close_missing_or_not_tradable
2026-03-03,6244,20,exit_official_raw_close_missing_or_not_tradable
2026-03-03,6244,40,exit_official_raw_close_missing_or_not_tradable
2026-03-04,6244,5,exit_official_raw_close_missing_or_not_tradable
2026-03-04,6244,10,exit_official_raw_close_missing_or_not_tradable
2026-03-04,6244,20,exit_official_raw_close_missing_or_not_tradable
2026-03-04,6244,40,exit_official_raw_close_missing_or_not_tradable
2026-03-05,6244,5,exit_official_raw_close_missing_or_not_tradable
2026-03-05,6244,10,exit_official_raw_close_missing_or_not_tradable
2026-03-05,6244,20,exit_official_raw_close_missing_or_not_tradable
2026-03-05,6244,40,exit_official_raw_close_missing_or_not_tradable
2026-03-06,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-06,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-06,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-06,6244,40,entry_official_raw_close_missing_or_not_tradable
2026-03-09,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-09,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-09,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-09,6244,40,entry_official_raw_close_missing_or_not_tradable
2026-03-10,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-10,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-10,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-10,6244,40,entry_official_raw_close_missing_or_not_tradable
2026-03-11,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-11,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-11,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-11,6244,40,entry_official_raw_close_missing_or_not_tradable
2026-03-12,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-12,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-12,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-12,6244,40,entry_official_raw_close_missing_or_not_tradable
2026-03-13,6244,5,entry_official_raw_close_missing_or_not_tradable
2026-03-13,6244,10,entry_official_raw_close_missing_or_not_tradable
2026-03-13,6244,20,entry_official_raw_close_missing_or_not_tradable
2026-03-13,6244,40,entry_official_raw_close_missing_or_not_tradable
2025-01-06,6245,5,entry_official_raw_close_missing_or_not_tradable
2025-01-06,6245,10,entry_official_raw_close_missing_or_not_tradable
2025-01-06,6245,20,entry_official_raw_close_missing_or_not_tradable
2025-01-06,6245,40,entry_official_raw_close_missing_or_not_tradable
2025-01-07,6245,5,entry_official_raw_close_missing_or_not_tradable
2025-01-07,6245,10,entry_official_raw_close_missing_or_not_tradable
2025-01-07,6245,20,entry_official_raw_close_missing_or_not_tradable
2025-01-07,6245,40,entry_official_raw_close_missing_or_not_tradable
2025-01-08,6245,5,entry_official_raw_close_missing_or_not_tradable
