snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2018-05-04,top200_buffer100,300,682015405592.0,150.5,0,27,749083512146.0,0.9104664493791073,True
2018-05-04,top300_buffer100,400,706253723716.0,200.5,0,34,749083512146.0,0.9428237469714161,True
2018-05-04,top500_reference_only,500,721619576620.0,250.5,0,41,749083512146.0,0.9633366172386836,True
2018-05-04,turnover_share_80_reference,152,600176848902.0,76.5,0,13,749083512146.0,0.8012148701318934,True
2018-05-04,turnover_share_90_reference,278,674314036658.0,139.5,0,27,749083512146.0,0.9001853941841573,True
2018-05-11,top200_buffer100,300,758142391684.0,150.5,0,29,833895526517.0,0.909157523425741,True
2018-05-11,top300_buffer100,400,784429473265.0,200.5,0,34,833895526517.0,0.940680754748009,True
2018-05-11,top500_reference_only,500,800678316896.0,250.5,0,39,833895526517.0,0.9601662215892427,True
2018-05-11,turnover_share_80_reference,152,667575253009.0,76.5,0,14,833895526517.0,0.8005502269538685,True
2018-05-11,turnover_share_90_reference,279,750535540713.0,140.0,0,28,833895526517.0,0.9000354562972936,True
2018-05-18,top200_buffer100,300,796383447455.0,150.5,0,20,880653636440.0,0.9043094975163468,True
2018-05-18,top300_buffer100,400,827089034763.0,200.5,0,33,880653636440.0,0.9391763123882253,True
2018-05-18,top500_reference_only,500,844826757173.0,250.5,0,35,880653636440.0,0.9593178546200882,True
2018-05-18,turnover_share_80_reference,157,705017576264.0,79.0,0,14,880653636440.0,0.8005617045016695,True
2018-05-18,turnover_share_90_reference,291,792782753200.0,146.0,0,20,880653636440.0,0.9002208364287079,True
2018-05-25,top200_buffer100,300,727411533391.0,150.5,0,24,802202936285.0,0.9067674780145298,True
2018-05-25,top300_buffer100,400,754622187482.0,200.5,0,32,802202936285.0,0.9406873913683907,True
2018-05-25,top500_reference_only,500,770883681559.0,250.5,0,36,802202936285.0,0.9609584391811885,True
2018-05-25,turnover_share_80_reference,160,642112409133.0,80.5,0,15,802202936285.0,0.800436373502472,True
2018-05-25,turnover_share_90_reference,286,722174947174.0,143.5,0,22,802202936285.0,0.9002397205355425,True
2018-06-01,top200_buffer100,300,943576356022.0,150.5,0,20,1041396903043.0,0.9060679489873987,True
2018-06-01,top300_buffer100,400,979521514378.0,200.5,0,31,1041396903043.0,0.9405842397992563,True
2018-06-01,top500_reference_only,500,1001375070537.0,250.5,0,33,1041396903043.0,0.961569088222699,True
2018-06-01,turnover_share_80_reference,165,834038749281.0,83.0,0,13,1041396903043.0,0.8008846068620985,True
2018-06-01,turnover_share_90_reference,288,937576484327.0,144.5,0,20,1041396903043.0,0.9003065801207657,True
2018-06-08,top200_buffer100,300,907678699864.0,150.5,0,22,1021288480530.0,0.8887583843038728,True
2018-06-08,top300_buffer100,400,947404928929.0,200.5,0,28,1021288480530.0,0.9276565309317325,True
2018-06-08,top500_reference_only,500,972230855369.0,250.5,0,33,1021288480530.0,0.9519649676891083,True
2018-06-08,turnover_share_80_reference,188,817397973350.0,94.5,0,15,1021288480530.0,0.8003595349727332,True
2018-06-08,turnover_share_90_reference,324,919505923781.0,162.5,0,22,1021288480530.0,0.9003390729559784,True
2018-06-15,top200_buffer100,300,966135836212.0,150.5,0,25,1077658773033.0,0.8965136835409171,True
2018-06-15,top300_buffer100,400,1005416703067.0,200.5,0,30,1077658773033.0,0.9329638733764682,True
2018-06-15,top500_reference_only,500,1029891831302.0,250.5,0,33,1077658773033.0,0.9556752629623539,True
2018-06-15,turnover_share_80_reference,175,863210161738.0,88.0,0,12,1077658773033.0,0.8010050893090691,True
2018-06-15,turnover_share_90_reference,308,970044786952.0,154.5,0,26,1077658773033.0,0.9001409455628264,True
2018-06-22,top200_buffer100,300,889485328262.0,150.5,0,23,980749943985.0,0.9069440520667561,True
2018-06-22,top300_buffer100,400,922531655422.0,200.5,0,28,980749943985.0,0.9406390090358339,True
2018-06-22,top500_reference_only,500,942187920661.0,250.5,0,30,980749943985.0,0.9606810853668631,True
2018-06-22,turnover_share_80_reference,163,785534613270.0,82.0,0,10,980749943985.0,0.8009530034518302,True
2018-06-22,turnover_share_90_reference,286,883112861573.0,143.5,0,21,980749943985.0,0.9004465072765854,True
2018-06-29,top200_buffer100,300,744587691863.0,150.5,0,15,822093306761.0,0.9057216324952606,True
2018-06-29,top300_buffer100,400,773070155901.0,200.5,0,25,822093306761.0,0.940367899292176,True
2018-06-29,top500_reference_only,500,789465695284.0,250.5,0,32,822093306761.0,0.9603115471094749,True
2018-06-29,turnover_share_80_reference,169,657802631184.0,85.0,0,10,822093306761.0,0.8001556827846029,True
2018-06-29,turnover_share_90_reference,289,740195253457.0,145.0,0,15,822093306761.0,0.9003786399542971,True
2018-07-06,top200_buffer100,300,811852313762.0,150.5,0,20,885888951747.0,0.9164267283850899,True
2018-07-06,top300_buffer100,400,837937919738.0,200.5,0,28,885888951747.0,0.9458724122087322,True
2018-07-06,top500_reference_only,500,853879384050.0,250.5,0,36,885888951747.0,0.9638672910031487,True
2018-07-06,turnover_share_80_reference,145,709376639610.0,73.0,0,8,885888951747.0,0.8007511982298545,True
2018-07-06,turnover_share_90_reference,263,797310433231.0,132.0,0,18,885888951747.0,0.9000117132725038,True
2018-07-13,top200_buffer100,300,740039381511.0,150.5,0,24,803293514614.0,0.9212565121562135,True
2018-07-13,top300_buffer100,400,764423303116.0,200.5,0,26,803293514614.0,0.951611446139114,True
2018-07-13,top500_reference_only,500,777618044436.0,250.5,0,34,803293514614.0,0.9680372495098039,True
2018-07-13,turnover_share_80_reference,145,643553454405.0,73.0,0,12,803293514614.0,0.8011435953323256,True
2018-07-13,turnover_share_90_reference,259,723295514335.0,130.0,0,19,803293514614.0,0.9004124907974133,True
2018-07-20,top200_buffer100,300,804945332650.0,150.5,0,22,871610526202.0,0.9235149283447845,True
2018-07-20,top300_buffer100,400,831006016541.0,200.5,0,25,871610526202.0,0.9534143881465817,True
2018-07-20,top500_reference_only,500,845591078040.0,250.5,0,32,871610526202.0,0.9701478500089042,True
2018-07-20,turnover_share_80_reference,142,698260633805.0,71.5,0,12,871610526202.0,0.8011154211820231,True
